academic_year,semester,school,jae_course_code,course_name,gender,intake
2013,S1,SCHOOL OF ENGINEERING,C50,DIPLOMA IN NANOTECHNOLOGY & MATERIALS SCIENCE,FEMALE,3
2013,S1,SCHOOL OF ENGINEERING,C50,DIPLOMA IN NANOTECHNOLOGY & MATERIALS SCIENCE,MALE,20
2013,S1,SCHOOL OF ENGINEERING,C51,DIPLOMA IN AERONAUTICAL & AEROSPACE TECHNOLOGY,FEMALE,2
2013,S1,SCHOOL OF ENGINEERING,C51,DIPLOMA IN AERONAUTICAL & AEROSPACE TECHNOLOGY,MALE,55
2013,S1,SCHOOL OF ENGINEERING,C52,DIPLOMA IN AEROSPACE SYSTEMS AND MANAGEMENT,FEMALE,9
2013,S1,SCHOOL OF ENGINEERING,C52,DIPLOMA IN AEROSPACE SYSTEMS AND MANAGEMENT,MALE,36
2013,S1,SCHOOL OF ENGINEERING,C53,DIPLOMA IN TELEMATICS AND MEDIA TECHNOLOGY,FEMALE,11
2013,S1,SCHOOL OF ENGINEERING,C53,DIPLOMA IN TELEMATICS AND MEDIA TECHNOLOGY,MALE,9
2013,S1,SCHOOL OF ENGINEERING,C62,DIPLOMA IN DIGITAL & PRECISION ENGINEERING,FEMALE,33
2013,S1,SCHOOL OF ENGINEERING,C62,DIPLOMA IN DIGITAL & PRECISION ENGINEERING,MALE,98
2013,S1,SCHOOL OF ENGINEERING,C71,DIPLOMA IN BIOMEDICAL ENGINEERING,FEMALE,20
2013,S1,SCHOOL OF ENGINEERING,C71,DIPLOMA IN BIOMEDICAL ENGINEERING,MALE,30
2013,S1,SCHOOL OF ENGINEERING,C75,DIPLOMA IN MULTIMEDIA & INFOCOMM TECHNOLOGY,FEMALE,81
2013,S1,SCHOOL OF ENGINEERING,C75,DIPLOMA IN MULTIMEDIA & INFOCOMM TECHNOLOGY,MALE,121
2013,S1,SCHOOL OF ENGINEERING,C87,DIPLOMA IN MECHATRONICS ENGINEERING,FEMALE,25
2013,S1,SCHOOL OF ENGINEERING,C87,DIPLOMA IN MECHATRONICS ENGINEERING,MALE,159
2013,S1,SCHOOL OF ENGINEERING,C88,DIPLOMA IN MANUFACTURING ENGINEERING,FEMALE,16
2013,S1,SCHOOL OF ENGINEERING,C88,DIPLOMA IN MANUFACTURING ENGINEERING,MALE,98
2013,S1,SCHOOL OF ENGINEERING,C89,"DIPLOMA IN ELECTRONICS, COMPUTER & COMMUNICATIONS ENGINEERING",FEMALE,86
2013,S1,SCHOOL OF ENGINEERING,C89,"DIPLOMA IN ELECTRONICS, COMPUTER & COMMUNICATIONS ENGINEERING",MALE,271
2013,S1,SCHOOL OF HEALTH & SOCIAL SCIENCES,C47,DIPLOMA IN SOCIAL SCIENCES (SOCIAL WORK),FEMALE,41
2013,S1,SCHOOL OF HEALTH & SOCIAL SCIENCES,C47,DIPLOMA IN SOCIAL SCIENCES (SOCIAL WORK),MALE,11
2013,S1,SCHOOL OF HEALTH & SOCIAL SCIENCES,C72,DIPLOMA IN DENTAL HYGIENE AND THERAPY,FEMALE,20
2013,S1,SCHOOL OF HEALTH & SOCIAL SCIENCES,C72,DIPLOMA IN DENTAL HYGIENE AND THERAPY,MALE,6
2013,S1,SCHOOL OF HEALTH & SOCIAL SCIENCES,C97,DIPLOMA IN NURSING,FEMALE,558
2013,S1,SCHOOL OF HEALTH & SOCIAL SCIENCES,C97,DIPLOMA IN NURSING,MALE,102
2013,S1,SCHOOL OF INFORMATION TECHNOLOGY,C43,DIPLOMA IN BUSINESS INTELLIGENCE & ANALYTICS,FEMALE,35
2013,S1,SCHOOL OF INFORMATION TECHNOLOGY,C43,DIPLOMA IN BUSINESS INTELLIGENCE & ANALYTICS,MALE,28
2013,S1,SCHOOL OF INFORMATION TECHNOLOGY,C54,DIPLOMA IN INFORMATION SECURITY,FEMALE,21
2013,S1,SCHOOL OF INFORMATION TECHNOLOGY,C54,DIPLOMA IN INFORMATION SECURITY,MALE,48
2013,S1,SCHOOL OF INFORMATION TECHNOLOGY,C58,DIPLOMA IN FINANCIAL INFORMATICS,FEMALE,39
2013,S1,SCHOOL OF INFORMATION TECHNOLOGY,C58,DIPLOMA IN FINANCIAL INFORMATICS,MALE,36
2013,S1,SCHOOL OF INFORMATION TECHNOLOGY,C68,DIPLOMA IN BUSINESS ENTERPRISE IT,FEMALE,36
2013,S1,SCHOOL OF INFORMATION TECHNOLOGY,C68,DIPLOMA IN BUSINESS ENTERPRISE IT,MALE,24
2013,S1,SCHOOL OF INFORMATION TECHNOLOGY,C78,DIPLOMA IN BUSINESS INFORMATICS,FEMALE,82
2013,S1,SCHOOL OF INFORMATION TECHNOLOGY,C78,DIPLOMA IN BUSINESS INFORMATICS,MALE,78
2013,S1,SCHOOL OF INFORMATION TECHNOLOGY,C80,DIPLOMA IN ENGINEERING INFORMATICS,FEMALE,52
