agecat,first_dose_pcttakeup,full_regimen_pcttakeup,vacc_date
5-11,0.0,0.0,2021-05-24
5-11,0.0,0.0,2021-05-25
5-11,0.0,0.0,2021-05-26
5-11,0.0,0.0,2021-05-27
5-11,0.0,0.0,2021-05-28
5-11,0.0,0.0,2021-05-29
5-11,0.0,0.0,2021-05-30
5-11,0.0,0.0,2021-05-31
5-11,0.0,0.0,2021-06-01
5-11,0.0,0.0,2021-06-02
5-11,0.0,0.0,2021-06-03
5-11,0.0,0.0,2021-06-04
5-11,0.0,0.0,2021-06-05
5-11,0.0,0.0,2021-06-06
5-11,0.0,0.0,2021-06-07
5-11,0.0,0.0,2021-06-08
5-11,0.0,0.0,2021-06-09
5-11,0.0,0.0,2021-06-10
5-11,0.0,0.0,2021-06-11
5-11,0.0,0.0,2021-06-12
5-11,0.0,0.0,2021-06-13
5-11,0.0,0.0,2021-06-14
5-11,0.0,0.0,2021-06-15
5-11,0.0,0.0,2021-06-16
5-11,0.0,0.0,2021-06-17
5-11,0.0,0.0,2021-06-18
5-11,0.0,0.0,2021-06-19
5-11,0.0,0.0,2021-06-20
5-11,0.0,0.0,2021-06-21
5-11,0.0,0.0,2021-06-22
5-11,0.0,0.0,2021-06-23
5-11,0.0,0.0,2021-06-24
5-11,0.0,0.0,2021-06-25
5-11,0.0,0.0,2021-06-26
5-11,0.0,0.0,2021-06-27
5-11,0.0,0.0,2021-06-28
5-11,0.0,0.0,2021-06-29
5-11,0.0,0.0,2021-06-30
5-11,0.0,0.0,2021-07-01
5-11,0.0,0.0,2021-07-02
5-11,0.0,0.0,2021-07-03
5-11,0.0,0.0,2021-07-04
5-11,0.0,0.0,2021-07-05
5-11,0.0,0.0,2021-07-06
5-11,0.0,0.0,2021-07-07
5-11,0.0,0.0,2021-07-08
5-11,0.0,0.0,2021-07-09
5-11,0.0,0.0,2021-07-10
5-11,0.0,0.0,2021-07-11
5-11,0.0,0.0,2021-07-12
5-11,0.0,0.0,2021-07-13
5-11,0.0,0.0,2021-07-14
5-11,0.0,0.0,2021-07-15
5-11,0.0,0.0,2021-07-16
5-11,0.0,0.0,2021-07-17
5-11,0.0,0.0,2021-07-18
5-11,0.0,0.0,2021-07-19
5-11,0.0,0.0,2021-07-20
5-11,0.0,0.0,2021-07-21
5-11,0.0,0.0,2021-07-22
5-11,0.0,0.0,2021-07-23
5-11,0.0,0.0,2021-07-24
5-11,0.0,0.0,2021-07-25
5-11,0.0,0.0,2021-07-26
5-11,0.0,0.0,2021-07-27
5-11,0.0,0.0,2021-07-28
5-11,0.0,0.0,2021-07-29
5-11,0.0,0.0,2021-07-30
5-11,0.0,0.0,2021-07-31
5-11,0.0,0.0,2021-08-01
5-11,0.0,0.0,2021-08-02
5-11,0.0,0.0,2021-08-03
5-11,0.0,0.0,2021-08-04
5-11,0.0,0.0,2021-08-05
5-11,0.0,0.0,2021-08-06
5-11,0.0,0.0,2021-08-07
5-11,0.0,0.0,2021-08-08
5-11,0.0,0.0,2021-08-09
5-11,0.0,0.0,2021-08-10
5-11,0.0,0.0,2021-08-11
5-11,0.0,0.0,2021-08-12
5-11,0.0,0.0,2021-08-13
5-11,0.0,0.0,2021-08-14
5-11,0.0,0.0,2021-08-15
5-11,0.0,0.0,2021-08-16
5-11,0.0,0.0,2021-08-17
5-11,0.0,0.0,2021-08-18
5-11,0.0,0.0,2021-08-19
5-11,0.0,0.0,2021-08-20
5-11,0.0,0.0,2021-08-21
5-11,0.0,0.0,2021-08-22
5-11,0.0,0.0,2021-08-23
5-11,0.0,0.0,2021-08-24
5-11,0.0,0.0,2021-08-25
5-11,0.0,0.0,2021-08-26
5-11,0.0,0.0,2021-08-27
5-11,0.0,0.0,2021-08-28
5-11,0.0,0.0,2021-08-29
5-11,0.0,0.0,2021-08-30
5-11,0.0,0.0,2021-08-31
5-11,0.0,0.0,2021-09-01
5-11,0.0,0.0,2021-09-02
5-11,0.0,0.0,2021-09-03
5-11,0.0,0.0,2021-09-04
5-11,0.0,0.0,2021-09-05
5-11,0.0,0.0,2021-09-06
5-11,0.0,0.0,2021-09-07
5-11,0.0,0.0,2021-09-08
5-11,0.0,0.0,2021-09-09
5-11,0.0,0.0,2021-09-10
5-11,0.0,0.0,2021-09-11
5-11,0.0,0.0,2021-09-12
5-11,0.0,0.0,2021-09-13
5-11,0.0,0.0,2021-09-14
5-11,0.0,0.0,2021-09-15
5-11,0.0,0.0,2021-09-16
5-11,0.0,0.0,2021-09-17
5-11,0.0,0.0,2021-09-18
5-11,0.0,0.0,2021-09-19
5-11,0.0,0.0,2021-09-20
5-11,0.0,0.0,2021-09-21
5-11,0.0,0.0,2021-09-22
5-11,0.0,0.0,2021-09-23
5-11,0.0,0.0,2021-09-24
5-11,0.0,0.0,2021-09-25
5-11,0.0,0.0,2021-09-26
5-11,0.0,0.0,2021-09-27
5-11,0.0,0.0,2021-09-28
5-11,0.0,0.0,2021-09-29
5-11,0.0,0.0,2021-09-30
5-11,0.0,0.0,2021-10-01
5-11,0.0,0.0,2021-10-02
5-11,0.0,0.0,2021-10-03
5-11,0.0,0.0,2021-10-04
5-11,0.0,0.0,2021-10-05
5-11,0.0,0.0,2021-10-06
5-11,0.0,0.0,2021-10-07
5-11,0.0,0.0,2021-10-08
5-11,0.0,0.0,2021-10-09
5-11,0.0,0.0,2021-10-10
5-11,0.0,0.0,2021-10-11
5-11,0.0,0.0,2021-10-12
5-11,0.0,0.0,2021-10-13
5-11,0.0,0.0,2021-10-14
5-11,0.0,0.0,2021-10-15
5-11,0.0,0.0,2021-10-16
5-11,0.0,0.0,2021-10-17
5-11,0.0,0.0,2021-10-18
5-11,0.0,0.0,2021-10-19
5-11,0.0,0.0,2021-10-20
5-11,0.0,0.0,2021-10-21
5-11,0.0,0.0,2021-10-22
5-11,0.0,0.0,2021-10-23
5-11,0.0,0.0,2021-10-24
5-11,0.0,0.0,2021-10-25
5-11,0.0,0.0,2021-10-26
5-11,0.0,0.0,2021-10-27
5-11,0.0,0.0,2021-10-28
5-11,0.0,0.0,2021-10-29
5-11,0.0,0.0,2021-10-30
5-11,0.0,0.0,2021-10-31
5-11,0.0,0.0,2021-11-01
5-11,0.0,0.0,2021-11-02
5-11,0.0,0.0,2021-11-03
5-11,0.0,0.0,2021-11-04
5-11,0.0,0.0,2021-11-05
5-11,0.0,0.0,2021-11-06
5-11,0.0,0.0,2021-11-07
5-11,0.0,0.0,2021-11-08
5-11,0.0,0.0,2021-11-09
5-11,0.0,0.0,2021-11-10
5-11,0.0,0.0,2021-11-11
5-11,0.0,0.0,2021-11-12
5-11,0.0,0.0,2021-11-13
5-11,0.0,0.0,2021-11-14
5-11,0.0,0.0,2021-11-15
5-11,0.0,0.0,2021-11-16
5-11,0.0,0.0,2021-11-17
5-11,0.0,0.0,2021-11-18
5-11,0.0,0.0,2021-11-19
5-11,0.0,0.0,2021-11-20
5-11,0.0,0.0,2021-11-21
5-11,0.0,0.0,2021-11-22
5-11,0.0,0.0,2021-11-23
5-11,0.0,0.0,2021-11-24
5-11,0.0,0.0,2021-11-25
5-11,0.0,0.0,2021-11-26
5-11,0.0,0.0,2021-11-27
5-11,0.0,0.0,2021-11-28
5-11,0.0,0.0,2021-11-29
5-11,0.0,0.0,2021-11-30
5-11,0.0,0.0,2021-12-01
5-11,0.0,0.0,2021-12-02
5-11,0.0,0.0,2021-12-03
5-11,0.0,0.0,2021-12-04
5-11,0.0,0.0,2021-12-05
5-11,0.0,0.0,2021-12-06
5-11,0.0,0.0,2021-12-07
5-11,0.0,0.0,2021-12-08
5-11,0.0,0.0,2021-12-09
5-11,0.0,0.0,2021-12-10
5-11,0.0,0.0,2021-12-11
5-11,0.0,0.0,2021-12-12
5-11,0.0,0.0,2021-12-13
5-11,0.0,0.0,2021-12-14
5-11,0.0,0.0,2021-12-15
5-11,0.0,0.0,2021-12-16
5-11,0.0,0.0,2021-12-17
5-11,0.0,0.0,2021-12-18
5-11,0.0,0.0,2021-12-19
5-11,0.0,0.0,2021-12-20
5-11,0.0,0.0,2021-12-21
5-11,0.0,0.0,2021-12-22
5-11,0.0,0.0,2021-12-23
5-11,0.0,0.0,2021-12-24
5-11,0.0,0.0,2021-12-25
5-11,0.0,0.0,2021-12-26
5-11,1.0,0.0,2021-12-27
5-11,2.0,0.0,2021-12-28
5-11,4.0,0.0,2021-12-29
5-11,5.0,0.0,2021-12-30
5-11,6.0,0.0,2021-12-31
5-11,6.0,0.0,2022-01-01
5-11,8.0,0.0,2022-01-02
5-11,11.0,0.0,2022-01-03
5-11,13.0,0.0,2022-01-04
5-11,13.0,0.0,2022-01-05
5-11,15.0,0.0,2022-01-06
5-11,17.0,0.0,2022-01-07
5-11,21.0,0.0,2022-01-08
5-11,23.0,0.0,2022-01-09
5-11,25.0,0.0,2022-01-10
5-11,26.0,0.0,2022-01-11
5-11,27.0,0.0,2022-01-12
5-11,29.0,0.0,2022-01-13
5-11,32.0,0.0,2022-01-14
5-11,35.0,0.0,2022-01-15
5-11,38.0,0.0,2022-01-16
5-11,39.0,1.0,2022-01-17
5-11,40.0,1.0,2022-01-18
5-11,41.0,1.0,2022-01-19
5-11,42.0,2.0,2022-01-20
5-11,44.0,3.0,2022-01-21
5-11,47.0,4.0,2022-01-22
5-11,49.0,5.0,2022-01-23
5-11,50.0,6.0,2022-01-24
